company_name,website,representative,employees,founded,capital,type_url
コムチュア株式会社（東証プライム上場企業）,http://www.comture.com,代表取締役 社長執行役員 亀井 貴裕,"2,129名（2026年4月1日時点、役員および派遣社員含む）",1985（昭和60）年1月18日,"1,022百万円（2025年3月31日）",https://type.jp/job-company/2335/
際コーポレーション株式会社（KIWA CORPORATION）,http://www.kiwa-group.co.jp/,代表取締役 中島 武,"1,249名（2025年10月31日）",1990年12月7日,1億円,https://type.jp/job-company/2468/
株式会社ぐるなび （東証スタンダード上場）,http://www.gnavi.co.jp/,代表取締役社長 杉原 章郎,単体 873名 連結 956名（2026年3月16日現在）,1989年10月2日（会社設立）2000年2月29日（株式会社ぐるなび発足）,100百万円（2026年3月16日現在）,https://type.jp/job-company/3053/
株式会社カクヤス『なんでも酒や カクヤス』,http://www.kakuyasu.co.jp/,代表取締役社長 佐藤 順一,"3,644名※パート・アルバイト含む（2017年3月末時点）",1982年6月15日（創業：1921年11月1日）,1億円,https://type.jp/job-company/9555/
株式会社キャリアデザインセンター メディアシステム統括局,https://cdc.type.jp/,代表取締役社長兼会長 多田 弘實,768名（2025年9月30日現在）,1993年7月8日,"5億5,866万円",https://type.jp/job-company/10309/
コムシス情報システム株式会社【東証プライムグループ】,https://www.comjo.co.jp/,代表取締役社長 森木 哲朗,"1,461名（連結）（2026年3月末時点）",2009年4月1日,4億5000万円,https://type.jp/job-company/10724/
株式会社キャリアデザインセンター 社員サポート本部【東証プライム上場企業】,http://cdc.type.jp/recruit/,代表取締役社長兼会長 多田 弘實,768名（2025年9月30日現在）,平成5年7月8日,"5億5,866万円",https://type.jp/job-company/13652/
神奈川ダイハツ販売株式会社,https://kanagawa.dd.daihatsu.co.jp/,取締役社長 清水祐輔,865名（2024年4月時点）,1927（昭和2）年9月,"5,000万円",https://type.jp/job-company/13716/
株式会社グロービス,http://www.globis.co.jp/,堀 義人,1004年（2025年4月1日時点）,1992年8月,,https://type.jp/job-company/14094/
株式会社グローアップ,http://grow-up1.co.jp/,代表取締役社長 加藤佑基,50名,2008年2月27日,,https://type.jp/job-company/15075/
株式会社クラフト,https://www.craft-group.jp/,代表取締役 加藤 博久,従業員数連結 195人 (2026年4月時点),1989年(平成元年)4月3日,1185万円,https://type.jp/job-company/15149/
株式会社カカクコム 渋谷オフィス,http://corporate.kakaku.com/,代表取締役社長/村上 敦浩,連結:1432名（2025年9月末現在）※取締役、契約社員、派遣社員及びアルバイトを除く従業員ベース,1997年12月（平成9年12月）,916百万円（2025年9月末 現在）,https://type.jp/job-company/16061/
株式会社敬相,http://www.k-ai.co.jp/,代表取締役 櫛田 祐造,105名（令和8年4月現在／グループ会社含む）,1984年5月1日,5000万円,https://type.jp/job-company/16472/
株式会社神戸製鋼所,http://www.kobelco.co.jp/,代表取締役社長 勝川 四志彦,,1911年6月28日（創立1905年9月1日）,,https://type.jp/job-company/17101/
株式会社キャリアデザインセンター type転職エージェント事業部,http://cdc.type.jp/recruit,代表取締役社長兼会長 多田 弘實,768名（2025年9月30日現在）,平成5年7月8日,"5億5,866万円",https://type.jp/job-company/17164/
株式会社コプロコンストラクション【東証プライム上場コプロ・ホールディングス子会社】,https://www.copro-e.co.jp/,代表取締役 越川 裕介,"従業員数：5,224名（2026年5月時点／正社員・派遣社員含む）",2006年（平成18年）10月,3000万円,https://type.jp/job-company/17243/
株式会社コンフィデンス・インターワークス【東証グロース上場】,https://ciw.jp/,代表取締役社長／澤岻 宣之,"1,275名(2026年3月時点)",2014年8月,"5億3,592万円（2026年3月時点）",https://type.jp/job-company/17786/
株式会社カプコン,http://www.capcom.co.jp/,代表取締役社長 最高執行責任者／辻本 春弘,"2,832名",1979年(昭和54年) 5月30日,332億39百万円,https://type.jp/job-company/18407/
クロノス株式会社【東証プライム上場企業ピー・シー・エー(株)グループ】,https://www.xronos-inc.co.jp/,代表取締役社長 大牧 充,144名（パート含む）：2026年4月1日現在,2011年5月6日,"6,000 万円",https://type.jp/job-company/19634/
株式会社神戸製鋼所【ポジションマッチ登録】,http://www.kobelco.co.jp/,代表取締役社長 勝川 四志彦,,1911年6月28日（創立1905年9月1日）,,https://type.jp/job-company/19869/
ＫＤＤＩ Ｂｉｚ Ｅｄｇｅ株式会社,https://www.kddimatomete.com/,代表取締役社長 落合 孝之,,2011年2月15日,10億円,https://type.jp/job-company/20040/
株式会社 ケー・エー・シー,http://www.kacnet.co.jp/,代表取締役社長：北村 典,736名（うち派遣や出向など受入社員21名）,1978年11月1日,"3,500万円",https://type.jp/job-company/20444/
株式会社キャリアデザインセンター IT派遣事業部「type IT派遣」【派遣登録】,http://it-partners.type.jp/,代表取締役社長兼会長：多田 弘實,835名（2024年9月30日現在）,1993年7月8日,"5億5,866万円",https://type.jp/job-company/20888/
クラウドエース株式会社,https://cloud-ace.jp/,代表取締役社長 兼 会長 吉積 礼敏,,2016年11月,1億円,https://type.jp/job-company/23388/
国際マネジメントシステム認証機構株式会社,https://www.icms.co.jp/,代表取締役社長 上野 洋一,,1999年,2000万円,https://type.jp/job-company/23446/
株式会社grasys（グラシス）,https://www.grasys.io/,長谷川祐介,45名（2026年1月時点）,2014年11月13日,,https://type.jp/job-company/26187/
株式会社久世【東証スタンダード上場】,https://www.kuze.co.jp/,代表取締役社長／久世 真也,連結：649名（2026年3月31日現在） 単体：395名（2026年3月31日現在）,1950年（昭和25年）1月 ＜創業：1934年（昭和9年）4月＞,1億円,https://type.jp/job-company/27563/
コンピュータ・ハイテック株式会社,https://www.cht.co.jp/recruit/,代表取締役社長 田口 壮一朗,80名（2026年6月）,1984年12月18日,1億円,https://type.jp/job-company/29585/
株式会社グリームオーブ,https://www.gleamorb.co.jp/,代表取締役／細川 尚史,31名,2016年3月,"3,000万円",https://type.jp/job-company/29835/
株式会社キャップインフォ,https://www.capinfo.co.jp/,代表取締役 森田 亘,40名,2004年3月31日,2000万円＋準備金1000万,https://type.jp/job-company/33342/
環境スペース株式会社,https://www.soundzone.jp/,代表取締役／嶺島 伸治,40名,2003年9月,"3,000万円",https://type.jp/job-company/33434/
株式会社グッドワークス,https://www.good-works.co.jp/,代表取締役 須合 憂,297人,2007年1月,"5,000万円",https://type.jp/job-company/35641/
カゴメ株式会社,https://www.kagome.co.jp/,代表取締役社長 奥谷 晴信,"3,253名(2025年12月期時点) ※過去3年間のキャリア入社の割合：32%",創業／1899年（明治32年）、設立／1949年（昭和24年）,"199億8,500万円",https://type.jp/job-company/36343/
gooMet合同会社,https://goomets.com,菊地 淳,中途入社者の割合／100%,2016年10月,,https://type.jp/job-company/36513/
キャル株式会社,https://www.cal.co.jp/,代表取締役社長 前田 明,"3,279名（2026年8月1日時点）",1990年2月,1億円,https://type.jp/job-company/36609/
神奈中タクシー株式会社,https://kanachu-taxi.co.jp/,代表取締役社長 金子 茂浩,1943人,2009年9月1日,"100,000千円",https://type.jp/job-company/37823/
株式会社クリア,https://clear-inc.site/,代表取締役 笠原 拓馬,単体455名 連結547名 ※2026年6月1日現在,2019年1月29日,1億円,https://type.jp/job-company/38275/
株式会社ＧＥＮＴＥＮ,https://genten-group.co.jp/,代表取締役 阿部 正和,,2019年3月3日,,https://type.jp/job-company/38906/
株式会社銀座コージーコーナー,https://www.cozycorner.co.jp/,代表取締役社長 庄野 和彦,"社員数：641名 契約社員・パート・アルバイト：約2,900名 2026年4月1日付人数",1948年1月,4910万4千円,https://type.jp/job-company/39152/
株式会社クリスタルジャパン,https://www.crystal-jp.co.jp/,代表取締役：浦木 太郎（ウラキ タロウ）,44人,1990年10月30日,"5,500万円",https://type.jp/job-company/39171/
株式会社ココロザシ,https://www.kokorozashi-japan.co.jp/,代表取締役 木村 多可志,144名（2026年7月時点）,2019年7月,500万円,https://type.jp/job-company/39196/
株式会社クリエーション・ビュー,https://www.cview.co.jp/,代表者 山田 健二,190名,1990年8月24日,3000万円,https://type.jp/job-company/39279/
ＣＯＮＦＩＴ株式会社,https://confit22.com/,代表取締役 前田 知広,60名,2022年2月,500万円,https://type.jp/job-company/39690/
株式会社キャリアデザインセンター MK事業部【東証プライム市場】,https://cdc.type.jp/,代表取締役社長兼会長 多田 弘實,768名（2025年9月30日現在）,1993年7月8日,5億5866万円,https://type.jp/job-company/41038/
コクヨ株式会社【ポジションマッチ登録】,https://www.kokuyo.co.jp/,代表執行役社長 黒田 英邦,"連結 6,931名、単体 2,142名（2023年12月末現在）",1905年（明治38年）10月,158億円,https://type.jp/job-company/41471/
クイック・ネットワーク株式会社,https://quicknetwork.co.jp/,代表取締役社長 田畑 翔利,196名,2015年2月,1億円,https://type.jp/job-company/41667/
クラリファイ株式会社,https://clarify.co.jp/,西田 陸人,,2023年7月18日,2500万円,https://type.jp/job-company/42038/
カンダリテールサポート株式会社【東証スタンダード上場グループ】,https://kanda-cashnet.jp/,代表取締役 田中 道也,483人（2024年3月実員ベース）,2019年11月1日 （創業1994年6月）,"8,000万円",https://type.jp/job-company/42227/
かながわ就職氷河期世代等活躍支援事務局,https://www.pref.kanagawa.jp/osirase/0607/kanagawa-shushoku/,,,2026年4月：令和8年度「かながわ就職氷河期世代等活躍支援プロジェクト」開始,,https://type.jp/job-company/42730/
株式会社コントラフト キャリアコンサルティング事業部【上場グループ】,https://contraft.co.jp/,代表取締役 瀬合 康介,グループ連結：3812名（2024年10月時点） 単体：15名（2024年10月時点）,2021年10月1日,2500万円,https://type.jp/job-company/42970/
京葉エンジニアリング株式会社,https://keiyo-e.co.jp/,代表取締役 浅子 格,7名,1984年(昭和59年)6月,2000万円,https://type.jp/job-company/43568/
株式会社ＣＡＩＲＮ,https://www.cair-n.co.jp/,代表取締役 川嵜 大樹,180名（2026年7月時点）,2019年10月,"1,000万円",https://type.jp/job-company/43733/
株式会社QOL,https://qol-system.co.jp/,代表取締役社長 石橋 祐二郎,30名,2020年01月,1000万円,https://type.jp/job-company/43814/
株式会社コーセー,https://corp.kose.co.jp/ja/,代表取締役社長 田中慎二,,1946年,,https://type.jp/job-company/44242/
株式会社ＣＯＲＥ ＣＯＤＥ,https://core-code.co.jp/,大塚 忍,150名※グループ会社含め1040名（2026年6月時点）,2022年11月10日,,https://type.jp/job-company/44532/
株式会社ケンブリッジ・コンサルティング,https://cambridgeconsulting.co.jp/,代表取締役 畑下 凪・小澤 宏明,163名,2019年,710万円,https://type.jp/job-company/45704/
株式会社カカクコム【ポジションマッチ登録】,http://corporate.kakaku.com/,代表取締役社長/村上 敦浩,"連結1,446名（2025年6月末現在）※取締役、契約社員、派遣社員及びアルバイトを除く従業員ベース",1997年12月（平成9年12月）,916百万円（2025年6月末現在）,https://type.jp/job-company/45949/
株式会社キャリアデザインセンター 人材紹介事業部（登録促進課）,http://shoukai.type.jp/,代表取締役社長兼会長 多田 弘實,662名（2021年9月30日現在）,平成5年7月8日,5億5866万円,https://type.jp/job-company/45997/
株式会社キャリアデザインセンター ｔｙｐｅ転職エージェント事業部,https://type.career-agent.jp/,多田 弘實,835人（2024年9月30日現在）,平成5年7月8日,,https://type.jp/job-company/46002/
株式会社カンゲンエージェント,https://kangen-agent.com/,代表 伊藤 大輝,152名(一部業務委託含む),2024年1月,"5,000,000円",https://type.jp/job-company/46210/
株式会社キャリアデザインセンター IT派遣事業部【派遣登録】,http://it-partners.type.jp/,代表取締役社長兼会長：多田 弘實,835名（2024年9月30日現在）,1993年7月8日,"5億5,866万円",https://type.jp/job-company/46318/
株式会社カメラのキタムラ 店舗事業部【カメラのキタムラ】,http://www.kitamura.jp/,代表取締役社長／福本 和宏,"6,374名 うち、社員2,007名 グループ全体6,991名 ※2024年3月末現在",創業：2024年（令和6年）4月（親会社創業：1934年3月）,1億円,https://type.jp/job-company/46592/
有限会社河野牛豚肉店,http://nikunokouno.com/,代表取締役 河野 勉,23名（アルバイト・パート含む）,昭和42年11月15日,"3,000,000円",https://type.jp/job-company/47075/
株式会社グラディート,https://www.gradito.co.jp/,代表取締役 池邊 和孝,,2022年12月12日,"1,000万円",https://type.jp/job-company/47135/
ケイプラス株式会社,http://kpls.jp/,代表取締役 清原 美秋,,2009年2月13日,"1,000万円",https://type.jp/job-company/47271/
株式会社カメラのキタムラ,http://www.kitamura.jp/,代表取締役社長／福本 和宏,"6,374名 うち、社員2,007名 グループ全体6,991名 ※2024年3月末現在",創業：2024年（令和6年）4月（親会社創業：1934年3月）,1億円,https://type.jp/job-company/47344/
株式会社クロサワエンジニアリング 本牧営業所,https://www.9630-engineering.jp/,代表取締役 黒澤 哲,700名,1966年10月3日,"4,350万円",https://type.jp/job-company/47374/
株式会社ＣＡＲＡＶＥＬ,https://caravel-ltd.com/,大池 啓生,,2022年7月15日,,https://type.jp/job-company/47498/
株式会社グッドフィールドアンドカンパニー,https://www.goodfield.co.jp/,代表取締役社長 吉野 久,147名（2026年3月1日現在）,1998年9月14日,3000万円,https://type.jp/job-company/47499/
株式会社クイック,https://919.jp/,代表取締役社長 川口 一郎,"2,133名（2026年4月1日現在）※グループ実績",1980年9月,"3億5,131万円（2025年3月31日現在）",https://type.jp/job-company/47606/
株式会社コーセー【ポジションマッチ登録】,https://corp.kose.co.jp/ja/,代表取締役社長 田中慎二,,1946年,,https://type.jp/job-company/47642/
キオクシア岩手株式会社,https://www.kioxia-iwate.co.jp/,代表取締役社長 柴山 耕一郎,2200名程度,2017年12月25日,"1,000万円",https://type.jp/job-company/47731/
GLOBA株式会社,https://globa.info/,代表取締役 塚本 亘,,2015年5月11日,"110,000,000円",https://type.jp/job-company/47807/
コインタックス株式会社,https://coin-tax.net/company/,田辺 拓也,91名,2018年4月26日,"1,000万円",https://type.jp/job-company/48033/
株式会社Good Lab,https://goodlab.co.jp/,代表取締役 羽田晋一郎,25名（業務委託含む）,2021年12月,"2,000万円",https://type.jp/job-company/48274/
カルペ・ディエム合同会社,https://www.carpe-d.jp/,,,2021年9月28日,"39,000,000円",https://type.jp/job-company/48279/
株式会社かなめ,https://www.kana-me.co.jp/about.html,代表取締役 中村財蔵,4名,2012年(平成24年)12月25日,250万円,https://type.jp/job-company/48380/
株式会社広済堂ビジネスサポート【東証プライム上場 広済堂ホールディングス】,https://www.kosaido-biz.co.jp/,代表取締役 鉢呂 耕一,,2011年11月25日,1億円 (株式会社広済堂ホールディングス 100％出資),https://type.jp/job-company/48536/
こぶし建設株式会社,https://kobushi-construction.co.jp/,代表取締役社長 長谷田 貴裕,57名（2026年7月時点）,1948年,8000万円,https://type.jp/job-company/48540/
倉商株式会社,https://www.kurasho-group.co.jp,尾形 功,55名,1973年5月,"9,000万円",https://type.jp/job-company/48662/
協和警備保障株式会社 千葉支社,https://www.kyowakeibi.co.jp/,取締役会長 福田 誠子／代表取締役 小宮 武之,"2,100名 (令和6年6月現在)",昭和49年5月17日,"2,000万円",https://type.jp/job-company/48677/
株式会社クラシアン,https://www.qracian.co.jp/,代表取締役会長 兼 社長 今田 健治,"1,408名（2025年9月現在）",1991年6月21日,1億円,https://type.jp/job-company/48823/
株式会社Ｃａｄｄｉｅ,https://caddie.co.jp/,山村 大地,25名,2018年7月,"2,500,000円",https://type.jp/job-company/48875/
株式会社北の達人コーポレーション,,＜代表取締役社長＞木下 勝寿,259名（2026年2月28日現在）,2002年5月（創立2000年5月）,2億7399万円（2026年2月28日現在）,https://type.jp/job-company/48968/
共進運輸株式会社,https://kysnet.co.jp/,代表取締役社⻑ 髙橋幸司,894名(グループ企業アルバイト・パートを含む),1977年7月18日,9000万円,https://type.jp/job-company/48981/
株式会社カオナビ【ポジションマッチ登録】,https://corp.kaonavi.jp/,代表取締役社長 CEO 佐藤 寛之,,2008年5月27日,1億円 ※2025年6月末時点,https://type.jp/job-company/48998/
株式会社Ｃｒａｎｅ＆Ｉ,https://crane-i.co.jp/,代表取締役 遠藤健太,195名(2026年4月時点),2014年5月1日,1億円,https://type.jp/job-company/49025/
株式会社GORACREW,https://goracrew.co.jp/,代表取締役 橋爪 司(チャーリー),76名（2025年12月現在）,2019年4月,"1,000万円",https://type.jp/job-company/49075/
共立建設株式会社 花畑事業所,https://kyoritsu-kensetsu.co.jp/,代表取締役 瀬口 維,200名,1987年11月4日,2250万円,https://type.jp/job-company/49086/
Ｃｏｔｏｆｕｒｅ株式会社,https://www.cotofure.com/,代表取締役社長CEO 髙橋 豊志,21名,2015年6月8日,"200,219,443円（資本準備金含む）",https://type.jp/job-company/49089/
株式会社GreanTech,,代表取締役 小西 龍,,2020年11月11日,"1,000,000円",https://type.jp/job-company/49242/
株式会社キューブエッジ,https://www.cubeedge.com/,代表取締役 菅野 徹,,2011年（平成23年）5月6日,"10,000,000円 （2015年8月末現在）",https://type.jp/job-company/49283/
株式会社カワタキコーポレーション,https://www.kawataki.co.jp/,代表取締役社長 川端 健嗣,正社員115名、パート1498名 (2026年1月現在),創業：1912年4月 設立：1952年2月,1億円,https://type.jp/job-company/49375/
株式会社グリーンテック,https://www.green-t.co.jp/,中島将貴,"3,196名 (2026年3月31日現在)",1996年10月,"5,000万円",https://type.jp/job-company/49406/
株式会社光陽テクノサービス,https://koyotechs.com/,代表取締役 安田 秀一,,2013年8月,"1,100万円",https://type.jp/job-company/49456/
株式会社ガリレオ,https://www.gally-tech.com/,代表取締役社長 定松 秀明,202名,1997年,1000万円,https://type.jp/job-company/49465/
株式会社コアシンク,https://www.coresync.co.jp/,結城正和,110名,2009年8月,"10,000,000円",https://type.jp/job-company/49467/
カコムス株式会社/カコムスSIT株式会社/株式会社デジタルグロー【合同募集】,https://www.kacoms-hd.co.jp/,代表取締役 清水 卓,644名（2026年4月1日時点／グループ計）,1971年7月7日,"9,500万円",https://type.jp/job-company/49524/
株式会社キーマネジメントソリューションズ,http://www.kyms.co.jp/index.html,代表取締役社長 丸山 一典,300名（グループ関連会社含め410名）,2004年4月,40百万円,https://type.jp/job-company/49552/
株式会社クレストリアルティ,https://crestrealty.jp/,尾方 福太朗,,2026年1月23日,500万円,https://type.jp/job-company/49575/
銀平グローバル株式会社,https://ginpei-global.com/,代表取締役 福澤雅弘,平均年齢／34歳,2011年7月,1000万円,https://type.jp/job-company/49582/
独立行政法人経済産業研究所,https://www.rieti.go.jp/jp/,理事長 深尾 京司,97名,2001年4月,,https://type.jp/job-company/49590/
株式会社クロスパワー,https://www.x-power.co.jp/,代表者／大江 龍介,250名,2006年10月2日,"5,000万円",https://type.jp/job-company/49607/
株式会社グリーンテック エンジニアリングソリューション事業部,https://www.green-t.co.jp/,代表取締役社⻑ 中島 将貴,"3,196名（2026年3⽉末現在）",1996年10月,5000万円,https://type.jp/job-company/49630/
株式会社ＫＯＫＵＳＡＩ ＥＬＥＣＴＲＩＣ【東証プライム上場】,https://www.kokusai-electric.com/,代表取締役 社長執行役員 塚田 和徳,"個別：1,193名 （2026年3月31日時点） 連結：2,609名 （2026年3月31日時点）",2017年2月2日,"141億3,900万円 （2026年3月31日時点）",https://type.jp/job-company/49668/
株式会社グランドセレモニー,https://www.grandsougi.co.jp/,代表取締役 杉山 章,13名（2026年7月時点）,2010年,1000万円,https://type.jp/job-company/49684/
株式会社ＣＲＥＳＴ,https://crest-ysr.com/,代表取締役 五十嵐 龍也,24名 ※2026年1月時点,2023年9月8日,"1,000,000円",https://type.jp/job-company/49693/
株式会社グリーンテック エンジニアリングソリューション事業部 豊田事業所,https://www.green-t.co.jp/,代表取締役社長 中島 将貴,"3,196名 (2026年3月31日現在)",1996年10月,"5,000万円",https://type.jp/job-company/49756/
京成バス東京株式会社,https://www.keiseibus.co.jp/company/,代表取締役 檜山雅紀,694名（乗務員：585名）,2000年7月,"6,000万円",https://type.jp/job-company/49769/
株式会社協栄,https://www.kyoei-corp.com/,代表取締役 山田賢治,"2,945名",昭和39年5月1日（1964年5月1日,"97,500,000円",https://type.jp/job-company/49842/
株式会社共立メンテナンス,http://www.kyoritsugroup.co.jp/,代表取締役社長 中村 幸治,"6,614名（連結）※2026年3月末現在",1979年 9月27日,"229億7,100万円 ※2026年3月末現在",https://type.jp/job-company/49921/
株式会社神奈中システムプラン【ミスタードーナツ/ドトールコーヒーショップFC加盟店】,https://kanachu-sp.co.jp/,代表取締役社長 稲葉 琢也,800名（2026年8月1日現在）,1997年10月1日,"1,000万円",https://type.jp/job-company/49966/
合同会社キャリア＆パートナーズ,https://www.career-and-partners.jp/index.html#hero,入江光俊,約20名,2026年4月,,https://type.jp/job-company/49973/
株式会社システナ【東証プライム市場上場企業】,https://www.systena.co.jp/,代表取締役会長 逸見 愛親,"単体：4,146名／連結：5,812名（2026年7月1日現在）",1983年(昭和58年)3月,"15億1,375万円（2026年7月1日現在）",https://type.jp/job-company/1060/
株式会社スタッフサービス エンジニアリング事業本部,https://www.staffservice-engineering.jp/,代表取締役社長 阪本 耕治,"19,944人（2026年3月時点）",2001年12月,5億円,https://type.jp/job-company/2111/
株式会社ジェットシステム,http://www.jetsystem.co.jp/,代表取締役社長 木村 和弘,グループ総数629名（2026年5月31日現在）,1988年8月6日,"1億8,000万円",https://type.jp/job-company/9147/
株式会社サウンドテクニカ,https://www.s-tech.co.jp/,代表取締役 高橋仲美,280名（2026年7月時点）,1980年6月,1000万円,https://type.jp/job-company/11767/
株式会社スクウェア・エニックス,http://www.jp.square-enix.com/,代表取締役社長 桐生 隆司,,2008年（平成20年）10月1日,15億円,https://type.jp/job-company/13212/
株式会社小学館ミュージック＆デジタルエンタテイメント,https://www.smde.co.jp/,代表取締役社長 浅井認,119名（男性68名 女性51名）※2026年4月1日時点,1998年8月3日,1000万円,https://type.jp/job-company/14153/
サンウエストホーム株式会社,http://www.sunwesthome.co.jp/,代表取締役社長 西野入 茂,,2012年（平成24年）7月2日,"9,800万円",https://type.jp/job-company/15637/
サイボウズ株式会社,http://cybozu.co.jp/,代表取締役社長 青野 慶久,"1,356名（2025年12月末 連結）",1997年8月8日,6億1300万円,https://type.jp/job-company/15785/
株式会社スタッフサービス オフィス事業本部 ミラエール推進部,http://www.022022.net/promotion/career/index.html,阪本 耕治,"5,784名（2026年4月1日時点） ※グループ全体",1981年11月29日,5億円※グループ全体,https://type.jp/job-company/16274/
株式会社セルム,http://www.celm.co.jp/,代表 加島 禎二,187名（24年03末時点）,2016年11月1日 （創業 1995年12月22日）,1億円,https://type.jp/job-company/18760/
ジャパンメディアシステム株式会社,https://www.jm-s.co.jp/,代表取締役CEO／中野 慎二,平均年齢／42.5歳,1984年8月,"4,900万円",https://type.jp/job-company/18829/
日月東交通株式会社,http://www.nichigetsu.fuji-group.jp/,,,1951年5月,"2,620万円",https://type.jp/job-company/19184/
スターシステムズ株式会社,http://starsystems.co.jp/ja/,Victor Shvetsky（シベツキー・ビクター）,20名（2026年6月 現在）,1998年8月,1000万円,https://type.jp/job-company/19653/
スカイライトコンサルティング株式会社,http://www.skylight.co.jp,代表取締役／羽物 俊樹,166名（2025年4月現在）,2000年3月10日,1億8200万円,https://type.jp/job-company/20008/
株式会社 システム・リノベイト,https://www.system-renovate.co.jp,代表取締役社長 佐田 浩志,82名（2025年7月時点）,2013年5月14日（平成25年）,"20,000,000円",https://type.jp/job-company/20063/
株式会社Speee,http://speee.jp/,代表取締役 大塚 英樹,,2007年11月29日,"2,906,030千円（2025年9月30日付）",https://type.jp/job-company/20697/
株式会社ゼロベース,https://www.zerobase.co.jp/,代表取締役 伝宝 悠,,2014年9月,,https://type.jp/job-company/21666/
Sansan株式会社,http://jp.corp-sansan.com,代表取締役社長／CEO／CPO 寺田 親弘,"単体1,979名（2025年11月30日時点）／連結2,266名（2025年11月30日時点）",2007年（平成19年）6月11日,72億91百万円（2025年11月30日時点）,https://type.jp/job-company/22379/
株式会社ＧＦＤ,http://www.gf-design.jp/,代表取締役 横溝 芳郎,53名,2008年1月,3000万円,https://type.jp/job-company/22579/
株式会社全日警 横浜支社,https://www.zennikkei.co.jp/,代表取締役社長 片岡 由文,4892人,1966年（昭和41年）10月8日,4億9428万円,https://type.jp/job-company/23062/
株式会社セキュアソフト,https://www.securesoft.co.jp/,代表取締役社長／姜 昇旭,"グループ全体 2,050名（2025年4月現在）",2002年8月30日,"8,850万円",https://type.jp/job-company/24932/
株式会社さくらインベスト,https://sakura-inv.com/,代表取締役 服部 美月,54名（2026年4月時点）,2010年 10月,1億円,https://type.jp/job-company/25015/
株式会社システムリファレンス,https://www.sysref.co.jp/,代表取締役 戸田 一隆,23名,1991年3月19日,"1,300万円",https://type.jp/job-company/25379/
株式会社損害保険リサーチ,https://www.sonpo-r.co.jp/,代表取締役社長 菅野 道生,"1,609名（2026年4月1日時点）【社員393名／業務委託（調査、鑑定等含む）1,216名】",1973年(昭和48年)10月,1億円,https://type.jp/job-company/25411/
セキュアエッジ株式会社,https://www.secureedge.jp/,代表取締役 西島 正憲,73名(グループ会社含む),2015年6月,"10,000,000円",https://type.jp/job-company/25956/
株式会社全国試験運営センター,https://www.nexa.co.jp/,代表取締役社長 都築 成幸,145名,2003年6月2日,7500万円,https://type.jp/job-company/26488/
株式会社全日警サービス神奈川【全日警グループ】,http://www.anssk.co.jp/,代表取締役／大植 康臣,170名（2020年1月時点）,1999年6月,1800万円,https://type.jp/job-company/26671/
SB C&S株式会社,https://cas.softbank.jp/,代表取締役社長 兼 CEO 草川 和哉,"2,126名",2014年4月1日,5億円,https://type.jp/job-company/27167/
株式会社美光商会,https://bikoushoukai.jp/,代表取締役会長 藤枝 勝,230名（2026年4月現在）,1987年8月28日,,https://type.jp/job-company/27824/
セントラル警備保障株式会社 横浜支社,http://www.we-are-csp.co.jp/,代表取締役執行役員社長 市川 東太郎,約7000名,1966年3月10日,"29億2,400万円",https://type.jp/job-company/28373/
株式会社白井商事／株式会社アスリート【合同募集】,,代表取締役 白井 慶太,22名（2026年7月現在）【白井商事】／8名【アスリート】,1966年12月（創業1961年8月）【白井商事】／2000年12月【アスリート】,"1,000万円【白井商事】／1,000万円【アスリート】",https://type.jp/job-company/28481/
湘南技術センター株式会社,https://www.shonan-gijyutsuc.co.jp/,代表取締役 武部 昭彦,140名,1974年12月,"5,000万円",https://type.jp/job-company/28906/
Zero Networks株式会社,http://www.zeronetworks.co.jp/company/,神寳 裕士,平均年齢／30.5歳,2015年（平成27年）11月4日,,https://type.jp/job-company/29670/
スイングバイテクノロジー株式会社,https://swingbytech.co.jp/,代表取締役 平松 孝裕,40名（2025年5月時点）,2017年4月17日,"2,000万円",https://type.jp/job-company/30649/
株式会社全日警 東京中央支社,https://www.zennikkei.co.jp/,代表取締役社長 片岡 由文,"4,892名",1966年(昭和41年)10月8日,"4億9,428万円",https://type.jp/job-company/31384/
首都圏ホーム株式会社,http://srs-group.co.jp/ / https://www.room-green.co.jp/,代表取締役 市川 裕之,60名（グループ含む）,昭和62年10月,"3,560万円",https://type.jp/job-company/31581/
株式会社サーキュレーション,https://circu.co.jp/,代表取締役社長 福田悠,248名（2025年4月末時点）,2014年1月,"8億7,790万3,000円（2025年4月末時点）",https://type.jp/job-company/31981/
株式会社ジョブズコンストラクション,https://www.jobs-c.com/,代表取締役/宇佐美 彰規,175名,2015年4月,"1,000万円",https://type.jp/job-company/34025/
株式会社Ｊ＆Ｃカンパニー,http://www.jcc-ltd.com/,代表取締役 大塚 浩文,単体：10名 連結：25名,2015年10月1日,"6,000,000円",https://type.jp/job-company/34185/
株式会社ジンテック,https://www.jintec.com/,代表取締役 柳 秀樹,約50名,1993年4月1日,"5,425万円",https://type.jp/job-company/34802/
住友不動産株式会社【東証プライム上場】,http://www.sumitomo-rd.co.jp,代表取締役社長 仁島 浩順,,1949年12月1日,"122,805百万円（2024年3月31日現在）",https://type.jp/job-company/35239/
スターソフト株式会社,https://starsoft.co.jp/,代表取締役 銭 来興,190名,2007年1月4日,"2,000万円",https://type.jp/job-company/35480/
株式会社ZELXUS（ゼルサス）,https://www.zelxus.com/,代表取締役／吉田武史,,2019年03月,"1,000万円",https://type.jp/job-company/37029/
