company_name,website,representative,employees,founded,capital,type_url
株式会社オーディオテクニカ,https://www.audio-technica.co.jp/corp/,代表取締役社長 松下 和雄,570名（関連含め合計約750名）,1962年4月17日,1億円,https://type.jp/job-company/26142/
株式会社 映像機器システム社,http://eizou.tv/,武仲 清一,,,"1,000万円",https://type.jp/job-company/28325/
アスクル株式会社【ソフトバンクグループ／LINEヤフー株式会社】,https://www.askul.co.jp/corp/,代表取締役社長 CEO 吉岡 晃,"3,697名（連結 2025年5月20日現在）",1963年11月 （プラス株式会社のステープル製造子会社としてプラス工業株式会社を設立）,"21,233百万円（2025年5月20日現在）",https://type.jp/job-company/28832/
ＡＬＳＯＫ-ＴＷ東日本株式会社,https://www.tweast.alsok.co.jp/,代表取締役社長 平山樹也,320名（2026年4月時点）,2017年4月1日,1億円,https://type.jp/job-company/29010/
株式会社アイザワビルサービス,http://www.aizawa-rm.co.jp/,代表取締役 相澤 仁,1870名（うちパート980名）※2025年４月時点,1989年1月,"1,000万円",https://type.jp/job-company/29117/
株式会社オーディオテクニカ【ポジションマッチ登録】,https://www.audio-technica.co.jp/,代表取締役社長 松下 和雄,,1962年4月17日,1億円,https://type.jp/job-company/29252/
Avintonジャパン株式会社,https://avinton.com/,代表取締役 中瀬 幸子,106名,2010年5月,3億900万円,https://type.jp/job-company/29567/
AJ・Flat株式会社,https://ajflat.co.jp/,代表取締役社長 尾上 雅憲,238名／グループ合算803名 （2024年4月末時点）,2008年11月11日,8000万円（グループ合算 9億658万円）,https://type.jp/job-company/30097/
株式会社アドバンテックス（日本ソフテックグループ合同募集）,https://www.advantex.co.jp/,代表取締役 窪田育夫,12名（男性7名、女性5名）,1990（平成2）年4月2日,"1,700万円",https://type.jp/job-company/31329/
株式会社アド・プロ,http://www.adpro-inc.co.jp/,代表取締役社長／髙木 祐輔,640名（2025年1月時点）,2004年12月1日,"65,000,000円",https://type.jp/job-company/31532/
株式会社牛若丸,http://www.uswk.jp/,代表取締役 奥村 努,8名,2012年4月,800万円,https://type.jp/job-company/31812/
株式会社岩建ホームリニュ,https://iwaken-hr.co.jp/,代表取締役社長 上野 俊典,16名（2025年8月現在）,2014年1月,500万円,https://type.jp/job-company/31853/
インフォコム株式会社,https://www.infocom.co.jp/ja/index.html,代表取締役社長 CEO 黒田 淳,,1983年2月,1億円,https://type.jp/job-company/32267/
株式会社イオシス,https://www.io-sys.co.jp/,代表取締役社長 島崎 浩一,35名,2014年9月1日,"1,000万円",https://type.jp/job-company/32582/
伊藤忠マシンテクノス株式会社【ポジションマッチ登録】,https://www.itcmt.co.jp/,代表取締役 社長執行役員CEO：松本 茂伸,366名 (2026年4月1日現在),1966年4月20日,,https://type.jp/job-company/33084/
株式会社 Axcia Solutions,http://www.axc-s.com/,石田 敏之,15名,2016年6月2日,1000万円,https://type.jp/job-company/33483/
ＦＴＣ株式会社,https://www.ft-cons.co.jp/,代表取締役 渡邊 吉臣,62名,2017年4月,"5,000万円",https://type.jp/job-company/33502/
株式会社ITSO,https://itso.co.jp/,代表取締役／深野靖浩 北川伸一,平均年齢／30歳,2018年5月9日,,https://type.jp/job-company/33509/
株式会社NSM,https://nsm-nsgroup.co.jp/,代表取締役社長 矢追 龍之介,33名,2019年1月29日設立 / 2019年6月1日創業,"2,000万円",https://type.jp/job-company/33788/
株式会社ＮＴＴデータビジネスシステムズ,https://www.nttdata-bizsys.co.jp/,代表取締役社長 福西 克文,1322名（2025年4月1日現在）,2011年4月1日,1億円（NTTデータ100%）,https://type.jp/job-company/34256/
アライズイノベーション株式会社,https://www.ariseinnovation.co.jp/,代表取締役社長 CEO 清水 真,18人,2016年7月1日,"8,000万円",https://type.jp/job-company/34506/
株式会社イーエムグループ,http://www.em-group.co.jp/,種田 繁樹,,2016年2月,3千万円,https://type.jp/job-company/35208/
Apex株式会社,https://www.apexkk.com/,代表取締役：ブロック・ワーベッツ(Brock Worbets),102名 (2023年4月現在),2010年9月,2000万円,https://type.jp/job-company/35233/
ウォータースタンド株式会社,https://waterstand.co.jp,代表取締役 本多 均,,1969年3月31日,5000万円,https://type.jp/job-company/35395/
株式会社オネスト,https://www.honest.co.jp/,代表取締役 本間 大輔,207名（2026年7月時点 オネストグループ）,1990年3月1日,"7,000万円",https://type.jp/job-company/35859/
株式会社エンパワー『買取大吉』,http://www.en-power.jp/,代表取締役 増井 俊介,1350名（2026年6月末現在）,2010年10月,3000万円,https://type.jp/job-company/36264/
株式会社オープンアップネクストエンジニア,https://openup.nextengineer.com/,代表取締役社長 木村 重晴,"単体7,747名：2025年10月1日時点／連結26,978名：2025年6月期",2019年7月,200百万円（2025年7月時点）,https://type.jp/job-company/36419/
omeroid株式会社,https://www.omeroid.com/,代表取締役社長 CEO 松野貞之,19名,2019年2月,900万円,https://type.jp/job-company/36458/
株式会社アクシオ,https://www.axio.co.jp/,代表取締役社長 渡邉 浩司,167名（2026年6月現在）,1991年12月,3億1000万円,https://type.jp/job-company/36730/
有限会社アクセス,https://www.acsc.jp/,代表取締役 根岸 不二夫,10名（男性：9名／女性：1名）,1993年4月22日,500万円,https://type.jp/job-company/37109/
株式会社アイスタイル【ポジションマッチ登録】,http://www.istyle.co.jp/,代表取締役社長 兼 COO 遠藤宗,"1,208名（連結）（2025年6月末日現在）",1999年7月27日,"71億7,900万円（2025年6月末日現在）",https://type.jp/job-company/37257/
株式会社アイ・ティー・シー,http://www.i-t-c.jp/,代表取締役 太田 聡,30名,2003年3月,"1,000万円",https://type.jp/job-company/37297/
株式会社ＡＴＪＣ【上場グループ】,https://atjc-it.jp/,代表取締役社長／齋藤 拓,約400名,2007年12月,4800万円,https://type.jp/job-company/37526/
株式会社エクサウィザーズ,https://exawizards.com,代表取締役社長 春田 真,587名（※連結 / 2025年3月末時点正社員）,2016年2月1日,24億円（※2025年3月末時点）,https://type.jp/job-company/37690/
SMHC株式会社,https://smhc.co.jp/,代表取締役 李 鉉道,,2016年5月10日,2000万円,https://type.jp/job-company/37745/
株式会社 エテレイン,https://eterein.co.jp/,CEO （代表取締役）／古田 拓也,25人（2023年2月1日現在）,2017年7月7日,300万円,https://type.jp/job-company/37778/
株式会社MTG,https://www.mtg.gr.jp/,代表取締役社長：松下 剛,"1,451人（2024年9月末現在、アルバイト・パート含む）",1996年1月,167億円,https://type.jp/job-company/37985/
栄和建物管理株式会社,http://www.etk.co.jp/,代表取締役 川俣光一,1460名（グループ合計2180名）,1958年7月8日,3000万円,https://type.jp/job-company/38024/
株式会社インキュライズ・コンサルティング,https://incurise.co.jp,代表取締役 高橋 倭,40名（2024年4月時点）,2020年1月,"1,000万円",https://type.jp/job-company/38066/
株式会社 アップコム,https://up-com.net/,代表取締役 寺本 公平,1000名（2025年12月現在）,2016年6月8日,"10,000,000円",https://type.jp/job-company/38507/
株式会社アビリティ,https://www.abinet.co.jp/,代表取締役 石川 圭相,36名,2005年9月,"1,000万円",https://type.jp/job-company/38942/
株式会社HNS,http://h-ns.jp/#/company,代表取締役 有本 靖男,,2011年11月4日,1500万円,https://type.jp/job-company/38997/
